DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;812;9424;9623;6,65;0;107113
30/11/2024;RPS;2;815;9424;9623;22,48;0;107113
30/11/2024;RPS;2;828;9424;9623;3,39;0;107113
30/11/2024;RPS;2;310;9425;9623;12123,24;0;107113
30/11/2024;RPS;2;315;9425;9623;1026,91;0;107113
30/11/2024;RPS;2;321;9425;9623;182,18;0;107113
30/11/2024;RPS;2;323;9425;9623;9,46;0;107113
30/11/2024;RPS;2;325;9425;9623;141,4;0;107113
30/11/2024;RPS;2;327;9425;9623;848,89;0;107113
30/11/2024;RPS;2;530;9425;9623;2647,11;0;107113
30/11/2024;RPS;2;535;9425;9623;376,42;0;107113
30/11/2024;RPS;2;539;9425;9623;212,3;0;107113
30/11/2024;RPS;2;812;9425;9623;144,14;0;107113
30/11/2024;RPS;2;815;9425;9623;20,79;0;107113
30/11/2024;RPS;2;941;9425;9623;306,93;0;107113
30/11/2024;RPS;2;116;9426;9623;534,09;0;107113
30/11/2024;RPS;2;205;9426;9623;320,6;0;107113
30/11/2024;RPS;2;310;9426;9623;8413,03;0;107113
30/11/2024;RPS;2;327;9426;9623;338,73;0;107113
30/11/2024;RPS;2;530;9426;9623;3088,25;0;107113
30/11/2024;RPS;2;539;9426;9623;50,52;0;107113
30/11/2024;RPS;2;812;9426;9623;128,47;0;107113
30/11/2024;RPS;2;828;9426;9623;14,46;0;107113
30/11/2024;RPS;2;941;9426;9623;63,52;0;107113
30/11/2024;RPS;2;208;9437;9623;664,3;0;107113
30/11/2024;RPS;2;310;9437;9623;7553,66;0;107113
30/11/2024;RPS;2;316;9437;9623;3162,36;0;107113
30/11/2024;RPS;2;327;9437;9623;687,7;0;107113
30/11/2024;RPS;2;530;9437;9623;1262,16;0;107113
